; Fri, 15 May 2015, 18:37:42
AX-89875716:ph3        33.689  ; 9399

AX-89780449:nmh        37.152  ; 9400

AX-89818708:nmh        40.021  ; 9401

AX-89876047:ph3        42.927  ; 9402

AX-89847139:ph3        44.084  ; 9403

AX-89780728:ph3        44.602  ; 9404

AX-89819006:ph3        45.709  ; 9405

AX-89876120:nmh        47.379  ; 9406

AX-89898799:ph3        52.567  ; 9407

AX-89898801:ph3        52.706  ; 9408

AX-89841550:ph3        52.845  ; 9409

AX-89798548:nmh        53.261  ; 9410

AX-89898729:nmh        53.680  ; 9411

AX-89898618:nmh        54.099  ; 9412

AX-89798509:nmh        54.515  ; 9413

AX-89898710:ph3        54.515  ; 9414

AX-89898565:nmh        55.497  ; 9415

AX-89898611:ph3        56.475  ; 9416

AX-89876231:ph3        57.175  ; 9417

AX-89898599:ph3        57.876  ; 9418

AX-89816581:nmh        58.392  ; 9419

AX-89778933:nmh        58.765  ; 9420

AX-89816518:nmh        58.913  ; 9421

AX-89873691:nmh        59.672  ; 9422

AX-89873757:nmh        60.267  ; 9423

AX-89898566:nmh        60.322  ; 9424

AX-89862590:nmh        61.011  ; 9425

AX-89816656:nmh        61.464  ; 9426

AX-89816664:ph3        62.059  ; 9427

AX-89778968:nmh        62.059  ; 9428

AX-89898522:ph3        63.179  ; 9429

AX-89778855:nmh        63.734  ; 9430

AX-89850063:ph3        64.288  ; 9431

AX-89873601:ph3        64.293  ; 9432

AX-89810039:nmh        64.293  ; 9433

AX-89816540:nmh        64.571  ; 9434

AX-89904136:ph3        65.006  ; 9435

AX-89816590:nmh        65.523  ; 9436

AX-89873707:ph3        66.243  ; 9437

AX-89816650:ph3        66.802  ; 9438

AX-89798454:ph3        67.943  ; 9439

AX-89873765:ph3        69.619  ; 9440

AX-89873773:ph3        69.897  ; 9441

AX-89778976:ph3        69.897  ; 9442

AX-89900216:ph3        69.897  ; 9443

AX-89779208:ph3        70.174  ; 9444

AX-89874175:nmh        70.174  ; 9445

AX-89846893:ph3        70.185  ; 9446

AX-89779113:ph3        71.011  ; 9447

AX-89778980:ph3        71.288  ; 9448

AX-89779245:ph3        72.688  ; 9449

AX-89846950:ph3        72.688  ; 9450

AX-89779277:nmh        73.531  ; 9451

AX-89779278:ph3        73.809  ; 9452

AX-89815263:ph3        74.368  ; 9453

AX-89907028:nmh        74.923  ; 9454

AX-89873501:nmh        76.041  ; 9455

AX-89873500:ph3        76.053  ; 9456

AX-89900434:nmh        76.609  ; 9457

AX-89904113:ph3        77.726  ; 9458

AX-89816743:ph3        79.136  ; 9459

AX-89873857:ph3        80.545  ; 9460

AX-89873970:ph3        81.666  ; 9461

AX-89846910:ph3        82.224  ; 9462

AX-89873797:nmh        82.504  ; 9463

AX-89873921:ph3        82.783  ; 9464

AX-89779048:ph3        83.339  ; 9465

AX-89816806:nmh        84.038  ; 9466

AX-89906921:ph3        84.737  ; 9467

AX-89873899:nmh        84.737  ; 9468

AX-89903455:ph3        85.608  ; 9469

AX-89806254:nmh        87.279  ; 9470

AX-89802786:nmh        88.403  ; 9471

AX-89816181:ph3        88.972  ; 9472

AX-89778549:ph3        89.539  ; 9473

AX-89778629:ph3        91.163  ; 9474

AX-89816948:ph3        91.691  ; 9475

AX-89779140:ph3        92.206  ; 9476

AX-89840212:nmh        94.739  ; 9477

AX-89860461:nmh        95.112  ; 9478

AX-89778387:ph3        96.320  ; 9479

AX-89797578:ph3        96.597  ; 9480

AX-89778366:ph3        96.875  ; 9481

AX-89910148:ph3        99.149  ; 9482

AX-89816109:ph3        99.662  ; 9483

AX-89874492:nmh       100.176  ; 9484

AX-89873240:nmh       100.176  ; 9485

AX-89816121:ph3       100.426  ; 9486

AX-89778997:nmh       100.688  ; 9487

AX-89873541:ph3       102.245  ; 9488

AX-89778411:ph3       102.245  ; 9489

AX-89869769:nmh       102.523  ; 9490

AX-89874548:ph3       102.801  ; 9491

AX-89778431:nmh       103.186  ; 9492

AX-89815954:ph3       103.637  ; 9493

AX-89779511:nmh       104.536  ; 9494

AX-89872951:nmh       107.073  ; 9495

AX-89778532:nmh       107.185  ; 9496

AX-89817421:nmh       108.415  ; 9497

AX-89860564:nmh       109.411  ; 9498

AX-89780854:ph2       109.411  ; 9499

AX-89895316:nmh       109.846  ; 9500

AX-89824865:nmh       110.721  ; 9501

AX-89873054:nmh       111.541  ; 9502

AX-89778456:nmh       111.596  ; 9503

AX-89778409:nmh       113.086  ; 9504

AX-89860402:ph3       113.854  ; 9505

AX-89916388:ph3       114.342  ; 9506

AX-89883477:nmh       114.342  ; 9507

AX-89780881:ph3       115.237  ; 9508

AX-89876345:nmh       116.355  ; 9509

group 1C



AX-89817490:ph3         0.000  ; 3645

AX-89817496:ph3         0.286  ; 3646

AX-89779573:nmh         0.842  ; 3647

AX-89817574:ph3         0.842  ; 3648

AX-89817507:ph3         1.262  ; 3649

AX-89874603:nmh         2.086  ; 3650

AX-89779527:nmh         2.495  ; 3651

AX-89817755:nmh         2.571  ; 3652

AX-89874304:nmh         3.318  ; 3653

AX-89817001:nmh         3.435  ; 3654

AX-89817365:ph3         3.728  ; 3655

AX-89817908:nmh         4.246  ; 3656

AX-89816608:ph3         5.031  ; 3657

AX-89874191:nmh         5.494  ; 3658

AX-89816551:nmh         5.727  ; 3659

AX-89811604:nmh         6.423  ; 3660

AX-89780110:ph3         6.423  ; 3661

AX-89875126:nmh         6.982  ; 3662

AX-89875378:nmh         6.982  ; 3663

AX-89875368:ph3         7.541  ; 3664

AX-89804946:nmh         9.157  ; 3665

AX-89780144:ph3        10.162  ; 3666

AX-89780160:ph3        10.586  ; 3667

AX-89862708:nmh        10.586  ; 3668

AX-89818329:nmh        11.440  ; 3669

AX-89780177:ph3        11.440  ; 3670

AX-89780182:ph3        11.864  ; 3671

AX-89818359:nmh        11.864  ; 3672

AX-89875532:nmh        12.718  ; 3673

AX-89818436:nmh        14.890  ; 3674

AX-89818423:nmh        15.743  ; 3675

AX-89875610:ph3        16.168  ; 3676

AX-89847110:nmh        16.168  ; 3677

AX-89818492:nmh        16.733  ; 3678

AX-89780363:ph3        17.456  ; 3679

AX-89818640:nmh        17.537  ; 3680

AX-89875678:ph3        17.761  ; 3681

AX-89780391:nmh        18.520  ; 3682

AX-89904293:ph3        18.665  ; 3683

AX-89818700:ph3        19.188  ; 3684

AX-89780505:ph3        19.711  ; 3685

AX-89780481:ph3        19.711  ; 3686

AX-89910597:nmh        19.711  ; 3687

AX-89910596:ph3        20.222  ; 3688

AX-89851189:nmh        20.524  ; 3689

AX-89818819:nmh        21.743  ; 3690

AX-89867543:ph3        22.127  ; 3691

AX-89875911:ph3        22.640  ; 3692

AX-89875937:ph3        22.963  ; 3693

AX-89875932:nmh        22.963  ; 3694

AX-89818787:nmh        23.153  ; 3695

AX-89875919:nmh        23.666  ; 3696

AX-89780604:nmh        24.697  ; 3697

AX-89854679:nmh        24.801  ; 3698

AX-89780622:nmh        24.801  ; 3699

AX-89780623:nmh        25.210  ; 3700

AX-89876023:nmh        25.723  ; 3701

AX-89780646:ph3        26.021  ; 3702

AX-89904303:ph3        26.235  ; 3703

AX-89818884:nmh        26.627  ; 3704

AX-89847145:ph3        27.251  ; 3705

AX-89876024:nmh        27.265  ; 3706

AX-89818904:nmh        27.719  ; 3707

AX-89818946:nmh        28.666  ; 3708

AX-89780718:nmh        29.381  ; 3709

AX-89780713:nmh        29.381  ; 3710

AX-89819033:nmh        30.044  ; 3711

AX-89876187:nmh        30.044  ; 3712

AX-89818959:nmh        30.095  ; 3713

AX-89819123:ph3        31.532  ; 3714

AX-89780787:nmh        31.893  ; 3715

AX-89780803:nmh        32.348  ; 3716

AX-89876257:nmh        32.969  ; 3717

AX-89780732:nmh        34.405  ; 3718

AX-89780765:ph3        34.405  ; 3719

AX-89780831:nmh        35.120  ; 3720

AX-89876236:nmh        35.120  ; 3721

AX-89819167:nmh        35.435  ; 3722

AX-89780818:nmh        36.028  ; 3723

AX-89822738:nmh        37.770  ; 3724

AX-89819163:nmh        37.998  ; 3725

AX-89876286:nmh        38.712  ; 3726

AX-89864516:nmh        39.336  ; 3727

AX-89898794:nmh        39.791  ; 3728

AX-89841544:nmh        40.705  ; 3729

AX-89798541:nmh        41.619  ; 3730

AX-89798473:nmh        41.619  ; 3731

AX-89898757:ph3        41.619  ; 3732

AX-89898811:nmh        41.619  ; 3733

AX-89798558:nmh        41.619  ; 3734

AX-89841463:nmh        42.203  ; 3735

AX-89798452:nmh        42.788  ; 3736

AX-89841384:ph3        43.373  ; 3737

AX-89898609:nmh        44.549  ; 3738

AX-89898558:ph3        45.133  ; 3739

AX-89798386:ph3        45.718  ; 3740

AX-89873633:nmh        46.027  ; 3741

AX-89873597:nmh        46.302  ; 3742

AX-89873661:nmh        46.556  ; 3743

AX-89860511:nmh        47.478  ; 3744

AX-89867433:nmh        48.654  ; 3745

AX-89778887:nmh        48.710  ; 3746

AX-89816573:nmh        49.239  ; 3747

AX-89778853:nmh        49.239  ; 3748

AX-89816570:ph3        49.239  ; 3749

AX-89816497:nmh        50.216  ; 3750

AX-89778890:nmh        50.544  ; 3751

AX-89873680:nmh        51.193  ; 3752

AX-89846870:ph3        51.193  ; 3753

AX-89873688:nmh        52.124  ; 3754

AX-89873996:nmh        52.394  ; 3755

AX-89872259:nmh        53.055  ; 3756

AX-89807752:nmh        53.190  ; 3757

AX-89873823:nmh        53.986  ; 3758

AX-89846887:ph3        53.986  ; 3759

AX-89778978:nmh        55.091  ; 3760

AX-89867444:nmh        56.196  ; 3761

AX-89816717:nmh        57.301  ; 3762

AX-89779263:nmh        59.165  ; 3763

AX-89817170:nmh        59.911  ; 3764

AX-89873457:nmh        60.282  ; 3765

AX-89803095:nmh        60.653  ; 3766

AX-89779256:nmh        60.653  ; 3767

AX-89873497:ph3        60.653  ; 3768

AX-89816403:ph3        60.931  ; 3769

AX-89873504:ph3        60.931  ; 3770

AX-89778992:ph3        61.798  ; 3771

AX-89779086:ph3        62.666  ; 3772

AX-89873965:nmh        63.533  ; 3773

AX-89873890:nmh        64.400  ; 3774

AX-89816791:nmh        64.831  ; 3775

AX-89903516:nmh        65.263  ; 3776

AX-89816160:nmh        66.130  ; 3777

AX-89873295:nmh        66.561  ; 3778

AX-89873328:ph3        66.992  ; 3779

AX-89816226:ph3        67.423  ; 3780

AX-89816896:ph3        68.291  ; 3781

AX-89803147:nmh        68.705  ; 3782

AX-89851005:nmh        69.984  ; 3783

AX-89846769:ph3        70.826  ; 3784

AX-89816996:ph3        70.826  ; 3785

AX-89873002:ph3        71.758  ; 3786

AX-89815885:ph3        73.450  ; 3787

AX-89778530:nmh        76.595  ; 3788

AX-89873208:ph3        79.042  ; 3789

AX-89895319:nmh        79.273  ; 3790

AX-89815994:nmh        80.326  ; 3791

AX-89873096:nmh        80.849  ; 3792

AX-89815828:ph3        80.849  ; 3793

AX-89904320:ph3        81.478  ; 3794

AX-89815797:nmh        81.497  ; 3795

AX-89780882:nmh        82.743  ; 3796

AX-89780888:nmh        83.372  ; 3797

AX-89780886:ph3        83.372  ; 3798

AX-89904793:ph3        83.792  ; 3799

AX-89876343:ph3        84.208  ; 3800

AX-89904331:ph3        84.208  ; 3801

AX-89876296:nmh        85.328  ; 3802

AX-89904333:ph3        85.328  ; 3803

AX-89817438:ph3        85.328  ; 3804



group 1D



AX-89818356:nmh         0.000  ; 8030

AX-89818393:ph3         0.556  ; 8031

AX-89817717:nmh         0.839  ; 8032

AX-89875533:ph3         1.123  ; 8033

AX-89875440:nmh         1.961  ; 8034

AX-89875483:nmh         2.383  ; 8035

AX-89818046:nmh         2.799  ; 8036

AX-89874411:ph3         2.799  ; 8037

AX-89779632:ph3         3.635  ; 8038

AX-89874865:nmh         3.635  ; 8039

AX-89817743:nmh         4.194  ; 8040

AX-89779669:ph3         5.192  ; 8041

AX-89862664:nmh         5.192  ; 8042

AX-89874860:nmh         6.782  ; 8043

AX-89817554:nmh         7.368  ; 8044

AX-89817497:ph3         9.566  ; 8045

AX-89817489:nmh        10.119  ; 8046

AX-89847025:ph3        10.119  ; 8047

AX-89874645:nmh        10.964  ; 8048

AX-89817205:ph3        12.388  ; 8049

AX-89817353:nmh        12.388  ; 8050

AX-89779595:nmh        13.687  ; 8051

AX-89874021:ph3        16.137  ; 8052

AX-89816915:nmh        17.247  ; 8053

AX-89779036:nmh        18.028  ; 8054

AX-89779044:nmh        18.244  ; 8055

AX-89779102:nmh        18.563  ; 8056

AX-89778874:nmh        20.125  ; 8057

AX-89778880:nmh        20.436  ; 8058

AX-89780111:ph3        20.825  ; 8059

AX-89780104:nmh        21.526  ; 8060

AX-89780100:nmh        22.226  ; 8061

AX-89793061:nmh        24.351  ; 8062

AX-89834258:nmh        25.760  ; 8063

AX-89875081:nmh        27.169  ; 8064

AX-89779864:nmh        27.870  ; 8065

AX-89779909:nmh        30.720  ; 8066

AX-89818032:nmh        32.128  ; 8067

AX-89779894:ph3        32.829  ; 8068

AX-89780337:nmh        40.693  ; 8069

AX-89780388:nmh        41.153  ; 8070

AX-89875743:nmh        42.079  ; 8071

AX-89872291:ph3        42.539  ; 8072

AX-89847129:ph3        43.672  ; 8073

AX-89780801:ph3        51.308  ; 8074

AX-89867429:ph3        59.372  ; 8075

AX-89873626:ph3        59.683  ; 8076

AX-89803102:ph3        60.240  ; 8077

AX-89778894:ph3        62.502  ; 8078

AX-89862603:nmh        62.923  ; 8079

AX-89778951:ph3        63.345  ; 8080

AX-89862612:nmh        63.900  ; 8081

AX-89854724:nmh        63.900  ; 8082

AX-89846917:ph3        63.900  ; 8083

AX-89904145:ph3        66.031  ; 8084

AX-89779272:nmh        66.430  ; 8085

AX-89817051:nmh        66.869  ; 8086

AX-89874167:nmh        67.285  ; 8087

AX-89817076:ph3        68.123  ; 8088

AX-89779301:nmh        68.961  ; 8089

AX-89846846:ph3        68.961  ; 8090

AX-89778767:nmh        68.961  ; 8091

AX-89816834:nmh        70.095  ; 8092

AX-89778777:ph3        72.102  ; 8093

AX-89778745:nmh        72.777  ; 8094

AX-89863981:ph3        73.439  ; 8095

AX-89873449:nmh        73.439  ; 8096

AX-89816444:nmh        74.044  ; 8097

AX-89816377:nmh        74.527  ; 8098

AX-89817164:nmh        74.527  ; 8099

AX-89816376:nmh        74.527  ; 8100

AX-89816359:nmh        74.757  ; 8101

AX-89873791:nmh        75.009  ; 8102

AX-89873458:nmh        75.412  ; 8103

AX-89816686:nmh        76.472  ; 8104

AX-89846137:nmh        77.399  ; 8105

AX-89873459:nmh        77.442  ; 8106

AX-89778988:nmh        77.442  ; 8107

AX-89846909:ph3        77.924  ; 8108

AX-89815914:nmh        79.387  ; 8109

AX-89872264:ph3        79.387  ; 8110

AX-89873909:nmh        79.387  ; 8111

AX-89873013:nmh        80.357  ; 8112

AX-89904101:ph3        80.705  ; 8113

AX-89802676:nmh        80.839  ; 8114

AX-89846219:nmh        80.839  ; 8115

AX-89816234:nmh        81.360  ; 8116

AX-89873332:nmh        82.931  ; 8117

AX-89873226:nmh        85.338  ; 8118

AX-89778351:ph3        85.364  ; 8119

AX-89847813:ph3        86.691  ; 8120

AX-89847808:ph3        87.338  ; 8121

AX-89873154:nmh        87.338  ; 8122

AX-89813079:nmh        87.338  ; 8123

AX-89778381:ph3        87.835  ; 8124

